DrugID	Drug_Target
CHEMBL134342	4846
CHEMBL134342	4860
CHEMBL134342	11019
CHEMBL134342	8884
CHEMBL1358	367
CHEMBL1358	2099
CHEMBL1358	595
CHEMBL1358	2100
CHEMBL1358	5925
CHEMBL1358	5241
CHEMBL1358	5617
CHEMBL1358	7031
CHEMBL1358	596
CHEMBL1396	1137
CHEMBL1396	89832
CHEMBL1396	1141
CHEMBL1396	1136
CHEMBL1396	8973
CHEMBL14053	222
CHEMBL14053	220
CHEMBL14053	1571
CHEMBL14053	218
CHEMBL1411979	3269
CHEMBL1429	554
CHEMBL15023	10280
CHEMBL1565476	213
CHEMBL1567	3791
CHEMBL157101	1595
CHEMBL157101	1576
CHEMBL1607	116447
CHEMBL1607	836
CHEMBL1607	3091
CHEMBL1607	5243
CHEMBL1607	7150
CHEMBL1607	9429
CHEMBL1616046	4353
CHEMBL1628227	3269
CHEMBL1637	142
CHEMBL1637	1633
CHEMBL1637	7084
CHEMBL1637	1956
CHEMBL1637	6240
CHEMBL1637	2030
CHEMBL1637	1635
CHEMBL1637	7298
CHEMBL1637	596
CHEMBL1637	6241
CHEMBL1637	836
CHEMBL167150	590
CHEMBL1675	5948
CHEMBL1675	337
CHEMBL1675	57016
CHEMBL1675	9227
CHEMBL1675	336
CHEMBL1675	4647
CHEMBL1675	2719
CHEMBL1675	1066
CHEMBL1675	10082
CHEMBL1675	8228
CHEMBL1675	2262
CHEMBL1675	3339
CHEMBL1675	7804
CHEMBL1675	5406
CHEMBL1675	6385
CHEMBL1675	5947
CHEMBL1675	2239
CHEMBL1675	51109
CHEMBL1675	338
CHEMBL1675	158835
CHEMBL1675	4035
CHEMBL1675	345
CHEMBL1675	3949
CHEMBL1675	375790
CHEMBL1675	221223
CHEMBL1675	9672
CHEMBL1675	283848
CHEMBL1675	335
CHEMBL1675	151056
CHEMBL1675	8694
CHEMBL1675	6383
CHEMBL1675	221914
CHEMBL1675	2817
CHEMBL1675	6121
CHEMBL1675	1208
CHEMBL1675	6382
CHEMBL1675	348
CHEMBL1675	8824
CHEMBL1697717	3290
CHEMBL1697717	2908
CHEMBL1697717	3291
CHEMBL1729	3360
CHEMBL1729	3358
